Name,Created,Tags,URL
Główny Strategiczny Przewodnik Kampanii TipJar+,"May 18, 2025 10:55 PM",,
Instrukcja użycia,"August 18, 2025 9:38 PM",,
"Przewodnik na rozdzielenie pracy ","August 18, 2025 9:35 PM",,
Orkiestrator mógł zbudować plan.,"August 18, 2025 9:41 PM",,
Orkiestrator mógł zbudować plan i uruchomić produkcję,"August 18, 2025 9:43 PM",,
Orkiestrator mógł zbudować plan i uruchomić EXEC → REVIEW → FREEZE → Publikacja.,"August 18, 2025 9:47 PM",,
1.Orkiestracja.1,"August 20, 2025 8:10 AM",,
2.Instrukcja użycia.2,"August 20, 2025 8:22 AM",,
3.Dokument konsolidujący.3,"August 20, 2025 8:50 AM",,
"4.Instrukcja użycia social.4 ","August 20, 2025 8:56 AM",,
5.Instrukcja social,"August 20, 2025 11:58 AM",,
6. Instrukcja SEO/BLOG,"August 20, 2025 12:24 PM",,
7. Instrukcja E-mail/Outreach,"August 20, 2025 12:29 PM",,
8. Instrukcja Press Release,"August 20, 2025 12:35 PM",,
9. Paid/Kreatywy,"August 21, 2025 12:30 PM",,
10. Instrukcja SEO/Blog 2,"August 21, 2025 12:36 PM",,
11. Support & FAQ,"August 21, 2025 7:59 PM",,
,"October 17, 2025 1:06 AM",,https://chatgpt.com/s/t_68f17a4b97c48191b6049eed48e607d1
